,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
5198,:7/2_11,:7/2_11_1,1,22.70,"1084.95,318.65 1084.95,325.39 1084.95,330.00 1084.95,334.61 1084.95,341.35",13.90
5199,:7/2_11,:7/2_11_2,2,22.70,"1081.65,318.65 1081.65,325.39 1081.65,330.00 1081.65,334.61 1081.65,341.35",13.90
5200,:7/2_14,:7/2_14_0,0,7.47,"1081.65,318.65 1080.84,324.34 1079.95,325.82",13.90
5201,:7/2_15,:7/2_15_0,0,2.41,"1081.65,318.65 1080.83,319.89 1080.00,320.30",13.90
5202,:7/2_22,:7/2_22_0,0,13.50,"1079.95,325.82 1078.40,328.40 1074.34,330.84 1068.65,331.65",13.90
5203,:7/2_23,:7/2_23_0,0,2.41,"1080.00,320.30 1079.18,319.89 1078.35,318.65",13.90
5204,:7/2_16,:7/2_16_0,0,5.00,"1068.65,321.75 1070.01,321.56 1070.97,320.98 1071.56,320.01 1071.75,318.65",13.90
5205,:7/2_17,:7/2_17_0,0,22.70,"1068.65,325.05 1075.39,325.05 1080.00,325.05 1084.61,325.05 1091.35,325.05",13.90
5206,:7/2_18,:7/2_18_0,0,20.97,"1068.65,328.35 1074.34,329.16 1078.40,331.60 1080.84,335.66 1081.65,341.35",13.90
5207,:7/2_19,:7/2_19_0,0,4.82,"1068.65,328.35 1069.89,329.17 1070.30,330.00 1069.89,330.82 1068.65,331.65",13.90
5208,:7/3_0,:7/3_0_0,0,5.00,"1071.75,491.35 1071.56,489.99 1070.97,489.02 1070.01,488.44 1068.65,488.25",13.90
5209,:7/3_1,:7/3_1_0,0,22.70,"1071.75,491.35 1071.75,484.61 1071.75,480.00 1071.75,475.39 1071.75,468.65",13.90
5210,:7/3_1,:7/3_1_1,1,22.70,"1075.05,491.35 1075.05,484.61 1075.05,480.00 1075.05,475.39 1075.05,468.65",13.90
5211,:7/3_1,:7/3_1_2,2,22.70,"1078.35,491.35 1078.35,484.61 1078.35,480.00 1078.35,475.39 1078.35,468.65",13.90
5212,:7/3_4,:7/3_4_0,0,7.47,"1078.35,491.35 1079.16,485.66 1080.05,484.18",13.90
5213,:7/3_5,:7/3_5_0,0,2.41,"1078.35,491.35 1079.18,490.11 1080.00,489.70",13.90
5214,:7/3_20,:7/3_20_0,0,13.50,"1080.05,484.18 1081.60,481.60 1085.66,479.16 1091.35,478.35",13.90
5215,:7/3_21,:7/3_21_0,0,2.41,"1080.00,489.70 1080.83,490.11 1081.65,491.35",13.90
5216,:7/3_6,:7/3_6_0,0,5.00,"1091.35,488.25 1089.99,488.44 1089.03,489.02 1088.44,489.99 1088.25,491.35",13.90
5217,:7/3_7,:7/3_7_0,0,22.70,"1091.35,484.95 1084.61,484.95 1080.00,484.95 1075.39,484.95 1068.65,484.95",13.90
5218,:7/3_8,:7/3_8_0,0,20.97,"1091.35,481.65 1085.66,480.84 1081.60,478.40 1079.16,474.34 1078.35,468.65",13.90
5219,:7/3_9,:7/3_9_0,0,4.82,"1091.35,481.65 1090.11,480.82 1089.70,480.00 1090.11,479.18 1091.35,478.35",13.90
5220,:7/3_10,:7/3_10_0,0,5.00,"1088.25,468.65 1088.44,470.01 1089.03,470.98 1089.99,471.56 1091.35,471.75",13.90
5221,:7/3_11,:7/3_11_0,0,22.70,"1088.25,468.65 1088.25,475.39 1088.25,480.00 1088.25,484.61 1088.25,491.35",13.90
5222,:7/3_11,:7/3_11_1,1,22.70,"1084.95,468.65 1084.95,475.39 1084.95,480.00 1084.95,484.61 1084.95,491.35",13.90
5223,:7/3_11,:7/3_11_2,2,22.70,"1081.65,468.65 1081.65,475.39 1081.65,480.00 1081.65,484.61 1081.65,491.35",13.90
5224,:7/3_14,:7/3_14_0,0,7.47,"1081.65,468.65 1080.84,474.34 1079.95,475.82",13.90
5225,:7/3_15,:7/3_15_0,0,2.41,"1081.65,468.65 1080.83,469.89 1080.00,470.30",13.90
5226,:7/3_22,:7/3_22_0,0,13.50,"1079.95,475.82 1078.40,478.40 1074.34,480.84 1068.65,481.65",13.90
5227,:7/3_23,:7/3_23_0,0,2.41,"1080.00,470.30 1079.18,469.89 1078.35,468.65",13.90
5228,:7/3_16,:7/3_16_0,0,5.00,"1068.65,471.75 1070.01,471.56 1070.97,470.98 1071.56,470.01 1071.75,468.65",13.90
5229,:7/3_17,:7/3_17_0,0,22.70,"1068.65,475.05 1075.39,475.05 1080.00,475.05 1084.61,475.05 1091.35,475.05",13.90
5230,:7/3_18,:7/3_18_0,0,20.97,"1068.65,478.35 1074.34,479.16 1078.40,481.60 1080.84,485.66 1081.65,491.35",13.90
5231,:7/3_19,:7/3_19_0,0,4.82,"1068.65,478.35 1069.89,479.18 1070.30,480.00 1069.89,480.82 1068.65,481.65",13.90
5232,:7/4_0,:7/4_0_0,0,5.00,"1071.75,641.35 1071.56,639.99 1070.97,639.02 1070.01,638.44 1068.65,638.25",13.90
5233,:7/4_1,:7/4_1_0,0,22.70,"1071.75,641.35 1071.75,634.61 1071.75,630.00 1071.75,625.39 1071.75,618.65",13.90
5234,:7/4_1,:7/4_1_1,1,22.70,"1075.05,641.35 1075.05,634.61 1075.05,630.00 1075.05,625.39 1075.05,618.65",13.90
5235,:7/4_1,:7/4_1_2,2,22.70,"1078.35,641.35 1078.35,634.61 1078.35,630.00 1078.35,625.39 1078.35,618.65",13.90
5236,:7/4_4,:7/4_4_0,0,7.47,"1078.35,641.35 1079.16,635.66 1080.05,634.18",13.90
5237,:7/4_5,:7/4_5_0,0,2.41,"1078.35,641.35 1079.18,640.11 1080.00,639.70",13.90
5238,:7/4_20,:7/4_20_0,0,13.50,"1080.05,634.18 1081.60,631.60 1085.66,629.16 1091.35,628.35",13.90
5239,:7/4_21,:7/4_21_0,0,2.41,"1080.00,639.70 1080.83,640.11 1081.65,641.35",13.90
5240,:7/4_6,:7/4_6_0,0,5.00,"1091.35,638.25 1089.99,638.44 1089.03,639.02 1088.44,639.99 1088.25,641.35",13.90
5241,:7/4_7,:7/4_7_0,0,22.70,"1091.35,634.95 1084.61,634.95 1080.00,634.95 1075.39,634.95 1068.65,634.95",13.90
5242,:7/4_8,:7/4_8_0,0,20.97,"1091.35,631.65 1085.66,630.84 1081.60,628.40 1079.16,624.34 1078.35,618.65",13.90
5243,:7/4_9,:7/4_9_0,0,4.82,"1091.35,631.65 1090.11,630.82 1089.70,630.00 1090.11,629.17 1091.35,628.35",13.90
5244,:7/4_10,:7/4_10_0,0,5.00,"1088.25,618.65 1088.44,620.01 1089.03,620.98 1089.99,621.56 1091.35,621.75",13.90
5245,:7/4_11,:7/4_11_0,0,22.70,"1088.25,618.65 1088.25,625.39 1088.25,630.00 1088.25,634.61 1088.25,641.35",13.90
5246,:7/4_11,:7/4_11_1,1,22.70,"1084.95,618.65 1084.95,625.39 1084.95,630.00 1084.95,634.61 1084.95,641.35",13.90
5247,:7/4_11,:7/4_11_2,2,22.70,"1081.65,618.65 1081.65,625.39 1081.65,630.00 1081.65,634.61 1081.65,641.35",13.90
5248,:7/4_14,:7/4_14_0,0,7.47,"1081.65,618.65 1080.84,624.34 1079.95,625.82",13.90
5249,:7/4_15,:7/4_15_0,0,2.41,"1081.65,618.65 1080.83,619.89 1080.00,620.30",13.90
