,edge_id,lane_id,lane_index,lane_length,lane_shape,lane_speed
587,:8/9_19,:8/9_19_0,0,4.82,"1218.65,1378.35 1219.89,1379.18 1220.30,1380.00 1219.89,1380.83 1218.65,1381.65",13.90
588,:8/9_18,:8/9_18_0,0,20.97,"1218.65,1378.35 1224.34,1379.16 1228.40,1381.60 1230.84,1385.66 1231.65,1391.35",13.90
589,:8/9_15,:8/9_15_0,0,2.41,"1231.65,1368.65 1230.82,1369.89 1230.00,1370.30",13.90
590,:8/9_14,:8/9_14_0,0,7.47,"1231.65,1368.65 1230.84,1374.34 1229.95,1375.82",13.90
591,:8/9_17,:8/9_17_0,0,22.70,"1218.65,1375.05 1225.39,1375.05 1230.00,1375.05 1234.61,1375.05 1241.35,1375.05",13.90
592,:8/9_16,:8/9_16_0,0,5.00,"1218.65,1371.75 1220.01,1371.56 1220.97,1370.97 1221.56,1370.01 1221.75,1368.65",13.90
593,:8/9_11,:8/9_11_2,2,22.70,"1231.65,1368.65 1231.65,1375.39 1231.65,1380.00 1231.65,1384.61 1231.65,1391.35",13.90
594,:8/9_10,:8/9_10_0,0,5.00,"1238.25,1368.65 1238.44,1370.01 1239.03,1370.97 1239.99,1371.56 1241.35,1371.75",13.90
595,7/7to8/7,7/7to8/7_2,2,127.30,"1091.35,1078.35 1218.65,1078.35",13.90
596,15/5to15/4,15/5to15/4_2,2,127.30,"2278.35,768.65 2278.35,641.35",13.90
597,15/5to15/6,15/5to15/6_2,2,127.30,"2281.65,791.35 2281.65,918.65",13.90
598,:9/8_1,:9/8_1_2,2,22.70,"1378.35,1241.35 1378.35,1234.61 1378.35,1230.00 1378.35,1225.39 1378.35,1218.65",13.90
599,:9/8_0,:9/8_0_0,0,5.00,"1371.75,1241.35 1371.56,1239.99 1370.97,1239.03 1370.01,1238.44 1368.65,1238.25",13.90
600,6/12to7/12,6/12to7/12_2,2,127.30,"941.35,1828.35 1068.65,1828.35",13.90
601,:9/8_5,:9/8_5_0,0,2.41,"1378.35,1241.35 1379.18,1240.11 1380.00,1239.70",13.90
602,:9/8_4,:9/8_4_0,0,7.47,"1378.35,1241.35 1379.16,1235.66 1380.05,1234.18",13.90
603,:9/8_7,:9/8_7_0,0,22.70,"1391.35,1234.95 1384.61,1234.95 1380.00,1234.95 1375.39,1234.95 1368.65,1234.95",13.90
604,:9/8_6,:9/8_6_0,0,5.00,"1391.35,1238.25 1389.99,1238.44 1389.03,1239.03 1388.44,1239.99 1388.25,1241.35",13.90
605,:3/15_0,:3/15_0_0,0,5.00,"471.75,2291.35 471.56,2289.99 470.98,2289.03 470.01,2288.44 468.65,2288.25",13.90
